XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
386243.2363,3946749.857,314801,314802,157401,7.4222649999999994
386243.2363,3946749.857,314801,315135,157568,21.147853
386583.4074,3946754.588,314989,315104,157552,26.238618
386583.4074,3946754.588,314989,316329,158165,34.302051
386262.8833,3946757.682,315135,315249,157625,7.45003
386262.8833,3946757.682,315135,318042,159021,76.78517099999999
386915.1529,3946757.5310000004,315243,315244,157622,12.948959
386915.1529,3946757.5310000004,315243,315719,157860,28.338603999999997
386915.1529,3946757.5310000004,315243,316147,158074,27.229113
386269.8871,3946760.222,315249,318004,159002,73.1621
386422.9518,3946768.273,315575,317328,158664,55.523024
386282.6575,3946768.3789999997,315579,315635,157818,3.3612050000000004
386285.7788,3946769.626,315635,316212,158106,16.900869
386941.5339,3946770.253,315658,315719,157861,12.648446
386941.5339,3946770.253,315658,318932,159466,80.708129
386928.9471,3946771.5,315719,316000,158000,7.838052
386279.3878,3946785.272,316212,316430,158216,5.61378
386590.9315,3946788.006,316329,316474,158238,9.453729
386590.9315,3946788.006,316329,320597,160299,108.27186200000001
386269.9394,3946789.808,316397,316430,158215,7.438042
386269.9394,3946789.808,316397,322225,161114,151.424607
386277.3451,3946790.501,316430,322269,161206,216.576227
386582.027,3946791.1810000003,316474,317479,158741,63.472477000000005
